測試次數,期間,訊號,樣本數,Y1(報酬率),Y2(波動率),Y3(夏普)
第 133 次,2020-2026,X1,587781,-0.444474,0.569771,-0.7801
第 133 次,2020-2026,X2,287855,-0.305170,0.510290,-0.5980
第 133 次,2020-2026,X3,92089,-0.368529,0.507085,-0.7268
第 134 次,2015-2019,X1,300547,-0.524595,0.614497,-0.8537
第 134 次,2015-2019,X2,152501,-0.337360,0.546991,-0.6168
第 134 次,2015-2019,X3,45298,-0.442423,0.553191,-0.7998
第 134 次,2020-2026,X1,587089,-0.445283,0.570407,-0.7806
第 134 次,2020-2026,X2,289322,-0.305864,0.510847,-0.5987
第 134 次,2020-2026,X3,93114,-0.370844,0.511106,-0.7256
第 135 次,2015-2019,X1,300105,-0.524820,0.614283,-0.8544
第 135 次,2015-2019,X2,153334,-0.335451,0.545783,-0.6146
第 135 次,2015-2019,X3,45411,-0.440242,0.561632,-0.7839
第 135 次,2020-2026,X1,587128,-0.444540,0.569862,-0.7801
第 135 次,2020-2026,X2,288307,-0.305668,0.512158,-0.5968
第 135 次,2020-2026,X3,92852,-0.371371,0.513696,-0.7229
第 136 次,2015-2019,X1,300970,-0.525660,0.615347,-0.8543
第 136 次,2015-2019,X2,152750,-0.336929,0.547832,-0.6150
第 136 次,2015-2019,X3,44937,-0.442876,0.558436,-0.7931
第 136 次,2020-2026,X1,587922,-0.445404,0.570682,-0.7805
第 136 次,2020-2026,X2,288595,-0.304951,0.510688,-0.5971
第 136 次,2020-2026,X3,92952,-0.369586,0.507523,-0.7282
第 137 次,2015-2019,X1,300537,-0.525770,0.613746,-0.8567
第 137 次,2015-2019,X2,153525,-0.338860,0.546574,-0.6200
第 137 次,2015-2019,X3,45182,-0.443147,0.554973,-0.7985
第 137 次,2020-2026,X1,588140,-0.444819,0.571034,-0.7790
第 137 次,2020-2026,X2,288629,-0.306295,0.509563,-0.6011
第 137 次,2020-2026,X3,92406,-0.369540,0.510540,-0.7238
第 138 次,2015-2019,X1,300193,-0.526226,0.614422,-0.8565
第 138 次,2015-2019,X2,153233,-0.335887,0.545400,-0.6159
第 138 次,2015-2019,X3,45190,-0.440661,0.553823,-0.7957
第 138 次,2020-2026,X1,588017,-0.444548,0.570913,-0.7787
第 138 次,2020-2026,X2,288630,-0.307295,0.511317,-0.6010
第 138 次,2020-2026,X3,92510,-0.369189,0.511287,-0.7221
第 139 次,2015-2019,X1,300206,-0.525595,0.614840,-0.8548
第 139 次,2015-2019,X2,152976,-0.336178,0.545932,-0.6158
第 139 次,2015-2019,X3,45130,-0.441576,0.555044,-0.7956
第 139 次,2020-2026,X1,586782,-0.444222,0.568059,-0.7820
第 139 次,2020-2026,X2,288183,-0.306701,0.513110,-0.5977
第 139 次,2020-2026,X3,92655,-0.370721,0.509080,-0.7282
第 140 次,2015-2019,X1,300859,-0.525254,0.615494,-0.8534
第 140 次,2015-2019,X2,152810,-0.338738,0.549205,-0.6168
第 140 次,2015-2019,X3,45105,-0.443318,0.556787,-0.7962
第 140 次,2020-2026,X1,587931,-0.444304,0.570161,-0.7793
第 140 次,2020-2026,X2,288406,-0.307046,0.513137,-0.5984
第 140 次,2020-2026,X3,92469,-0.371737,0.513409,-0.7241
第 141 次,2015-2019,X1,300826,-0.524636,0.614128,-0.8543
第 141 次,2015-2019,X2,152834,-0.336044,0.546750,-0.6146
第 141 次,2015-2019,X3,44957,-0.443050,0.557831,-0.7942
第 141 次,2020-2026,X1,587584,-0.444558,0.569627,-0.7804
第 141 次,2020-2026,X2,288733,-0.306541,0.512530,-0.5981
第 141 次,2020-2026,X3,92587,-0.370541,0.512402,-0.7231
第 142 次,2015-2019,X1,300568,-0.528022,0.616243,-0.8568
第 142 次,2015-2019,X2,153398,-0.337000,0.546734,-0.6164
第 142 次,2015-2019,X3,45390,-0.441998,0.555190,-0.7961
第 142 次,2020-2026,X1,587555,-0.443986,0.569409,-0.7797
第 142 次,2020-2026,X2,288095,-0.305719,0.509878,-0.5996
第 142 次,2020-2026,X3,92337,-0.372981,0.513047,-0.7270
第 143 次,2015-2019,X1,300988,-0.524398,0.613521,-0.8547
第 143 次,2015-2019,X2,152839,-0.335847,0.546311,-0.6148
第 143 次,2015-2019,X3,45052,-0.440726,0.554405,-0.7950
第 143 次,2020-2026,X1,587511,-0.445183,0.569564,-0.7816
第 143 次,2020-2026,X2,288449,-0.306396,0.512807,-0.5975
第 143 次,2020-2026,X3,92497,-0.369654,0.509325,-0.7258
第 144 次,2015-2019,X1,301262,-0.525509,0.614583,-0.8551
第 144 次,2015-2019,X2,152361,-0.337656,0.549176,-0.6148
第 144 次,2015-2019,X3,44996,-0.444292,0.559342,-0.7943
第 144 次,2020-2026,X1,585996,-0.445547,0.571232,-0.7800
第 144 次,2020-2026,X2,287893,-0.304979,0.510758,-0.5971
第 144 次,2020-2026,X3,92786,-0.371632,0.511795,-0.7261
第 145 次,2015-2019,X1,300148,-0.524719,0.613832,-0.8548
第 145 次,2015-2019,X2,153298,-0.335633,0.544301,-0.6166
第 145 次,2015-2019,X3,45280,-0.444252,0.555881,-0.7992
第 145 次,2020-2026,X1,588002,-0.443883,0.569805,-0.7790
第 145 次,2020-2026,X2,288038,-0.306905,0.512594,-0.5987
第 145 次,2020-2026,X3,92570,-0.373030,0.512593,-0.7277
第 146 次,2015-2019,X1,300735,-0.525225,0.614530,-0.8547
第 146 次,2015-2019,X2,152595,-0.334114,0.543915,-0.6143
第 146 次,2015-2019,X3,44810,-0.443975,0.560074,-0.7927
第 146 次,2020-2026,X1,587968,-0.444975,0.570287,-0.7803
第 146 次,2020-2026,X2,288778,-0.304296,0.510565,-0.5960
第 146 次,2020-2026,X3,92391,-0.368552,0.511114,-0.7211
第 147 次,2015-2019,X1,300530,-0.525194,0.615534,-0.8532
第 147 次,2015-2019,X2,152480,-0.336092,0.546020,-0.6155
第 147 次,2015-2019,X3,44971,-0.444926,0.556767,-0.7991
第 147 次,2020-2026,X1,588405,-0.444611,0.569913,-0.7801
第 147 次,2020-2026,X2,288038,-0.304881,0.510211,-0.5976
第 147 次,2020-2026,X3,92355,-0.370054,0.511363,-0.7237
第 148 次,2015-2019,X1,300881,-0.525837,0.614167,-0.8562
第 148 次,2015-2019,X2,153165,-0.338507,0.547498,-0.6183
第 148 次,2015-2019,X3,45044,-0.446252,0.563767,-0.7916
第 148 次,2020-2026,X1,587352,-0.444037,0.568755,-0.7807
第 148 次,2020-2026,X2,287746,-0.304871,0.509889,-0.5979
第 148 次,2020-2026,X3,92474,-0.369056,0.511600,-0.7214
第 149 次,2015-2019,X1,300561,-0.526810,0.613968,-0.8580
第 149 次,2015-2019,X2,152123,-0.337727,0.548315,-0.6159
第 149 次,2015-2019,X3,44820,-0.443345,0.558085,-0.7944
第 149 次,2020-2026,X1,587877,-0.445546,0.570451,-0.7810
第 149 次,2020-2026,X2,288666,-0.305657,0.510508,-0.5987
第 149 次,2020-2026,X3,92824,-0.369927,0.509219,-0.7265
第 150 次,2015-2019,X1,300278,-0.526127,0.615931,-0.8542
第 150 次,2015-2019,X2,152720,-0.335588,0.546657,-0.6139
第 150 次,2015-2019,X3,45129,-0.442249,0.556055,-0.7953
第 150 次,2020-2026,X1,587363,-0.444781,0.569777,-0.7806
第 150 次,2020-2026,X2,287965,-0.306548,0.512616,-0.5980
第 150 次,2020-2026,X3,92384,-0.370310,0.512028,-0.7232
第 151 次,2015-2019,X1,300306,-0.525908,0.615051,-0.8551
第 151 次,2015-2019,X2,152973,-0.335253,0.546903,-0.6130
第 151 次,2015-2019,X3,45384,-0.444706,0.558090,-0.7968
第 151 次,2020-2026,X1,588363,-0.444033,0.569324,-0.7799
第 151 次,2020-2026,X2,287906,-0.306286,0.511402,-0.5989
第 151 次,2020-2026,X3,92305,-0.369691,0.511132,-0.7233
第 152 次,2015-2019,X1,300658,-0.526430,0.615690,-0.8550
第 152 次,2015-2019,X2,152966,-0.337358,0.547590,-0.6161
第 152 次,2015-2019,X3,44609,-0.443910,0.551085,-0.8055
第 152 次,2020-2026,X1,587085,-0.444415,0.570247,-0.7793
第 152 次,2020-2026,X2,288494,-0.305488,0.510262,-0.5987
第 152 次,2020-2026,X3,92336,-0.370346,0.511263,-0.7244
第 153 次,2015-2019,X1,300232,-0.524414,0.613414,-0.8549
第 153 次,2015-2019,X2,152848,-0.337555,0.546658,-0.6175
第 153 次,2015-2019,X3,45034,-0.443534,0.558019,-0.7948
第 153 次,2020-2026,X1,587816,-0.443983,0.569971,-0.7790
第 153 次,2020-2026,X2,287976,-0.308007,0.514319,-0.5989
第 153 次,2020-2026,X3,92676,-0.369770,0.514510,-0.7187
第 154 次,2015-2019,X1,300125,-0.525663,0.614449,-0.8555
第 154 次,2015-2019,X2,152318,-0.336163,0.548376,-0.6130
第 154 次,2015-2019,X3,45004,-0.440604,0.556668,-0.7915
第 154 次,2020-2026,X1,587479,-0.445513,0.571274,-0.7799
第 154 次,2020-2026,X2,288277,-0.306581,0.511371,-0.5995
第 154 次,2020-2026,X3,92422,-0.370896,0.512370,-0.7239
第 155 次,2015-2019,X1,300506,-0.524668,0.613638,-0.8550
第 155 次,2015-2019,X2,152906,-0.335857,0.545720,-0.6154
第 155 次,2015-2019,X3,44951,-0.443997,0.555153,-0.7998
第 155 次,2020-2026,X1,587686,-0.444958,0.568822,-0.7822
第 155 次,2020-2026,X2,288678,-0.306274,0.510914,-0.5995
第 155 次,2020-2026,X3,92917,-0.369268,0.512618,-0.7204
第 156 次,2015-2019,X1,300471,-0.525088,0.614293,-0.8548
第 156 次,2015-2019,X2,152801,-0.335056,0.546021,-0.6136
第 156 次,2015-2019,X3,45210,-0.441856,0.555262,-0.7958
第 156 次,2020-2026,X1,586758,-0.444940,0.571925,-0.7780
第 156 次,2020-2026,X2,288689,-0.306800,0.510748,-0.6007
第 156 次,2020-2026,X3,92645,-0.371870,0.512046,-0.7262
第 157 次,2015-2019,X1,301104,-0.524957,0.614522,-0.8543
第 157 次,2015-2019,X2,153215,-0.335669,0.547346,-0.6133
第 157 次,2015-2019,X3,45084,-0.439749,0.553597,-0.7943
第 157 次,2020-2026,X1,588560,-0.443865,0.569413,-0.7795
第 157 次,2020-2026,X2,288296,-0.306997,0.511958,-0.5997
第 157 次,2020-2026,X3,92266,-0.371648,0.514155,-0.7228
第 158 次,2015-2019,X1,300876,-0.525762,0.615214,-0.8546
第 158 次,2015-2019,X2,153496,-0.335768,0.547750,-0.6130
第 158 次,2015-2019,X3,44947,-0.444896,0.560419,-0.7939
第 158 次,2020-2026,X1,589132,-0.443440,0.569450,-0.7787
第 158 次,2020-2026,X2,288462,-0.307326,0.513299,-0.5987
第 158 次,2020-2026,X3,92579,-0.370704,0.514287,-0.7208
第 159 次,2015-2019,X1,300575,-0.525539,0.613092,-0.8572
第 159 次,2015-2019,X2,153217,-0.334180,0.546399,-0.6116
第 159 次,2015-2019,X3,45663,-0.444128,0.562871,-0.7890
第 159 次,2020-2026,X1,587181,-0.445125,0.570199,-0.7806
第 159 次,2020-2026,X2,288295,-0.307463,0.511745,-0.6008
第 159 次,2020-2026,X3,92842,-0.371464,0.512944,-0.7242
第 160 次,2015-2019,X1,300877,-0.527950,0.615119,-0.8583
第 160 次,2015-2019,X2,152388,-0.334870,0.546753,-0.6125
第 160 次,2015-2019,X3,45160,-0.439302,0.555613,-0.7907
第 160 次,2020-2026,X1,587986,-0.445929,0.570886,-0.7811
第 160 次,2020-2026,X2,288754,-0.307042,0.510448,-0.6015
第 160 次,2020-2026,X3,92392,-0.370266,0.512021,-0.7231
第 161 次,2015-2019,X1,299581,-0.524378,0.613210,-0.8551
第 161 次,2015-2019,X2,152412,-0.339071,0.549119,-0.6175
第 161 次,2015-2019,X3,45265,-0.442201,0.560798,-0.7885
第 161 次,2020-2026,X1,587909,-0.443886,0.570227,-0.7784
第 161 次,2020-2026,X2,287890,-0.306841,0.511203,-0.6002
第 161 次,2020-2026,X3,92521,-0.369540,0.510519,-0.7239
第 162 次,2015-2019,X1,300549,-0.527284,0.615157,-0.8572
第 162 次,2015-2019,X2,152844,-0.336421,0.547883,-0.6140
第 162 次,2015-2019,X3,44823,-0.440293,0.557133,-0.7903
第 162 次,2020-2026,X1,587826,-0.444759,0.570156,-0.7801
第 162 次,2020-2026,X2,287809,-0.306678,0.510959,-0.6002
第 162 次,2020-2026,X3,92546,-0.372564,0.513302,-0.7258
第 163 次,2015-2019,X1,300348,-0.525562,0.612971,-0.8574
第 163 次,2015-2019,X2,152865,-0.333738,0.544362,-0.6131
第 163 次,2015-2019,X3,44785,-0.438546,0.553899,-0.7917
第 163 次,2020-2026,X1,586940,-0.444615,0.569669,-0.7805
第 163 次,2020-2026,X2,288478,-0.305511,0.512311,-0.5963
第 163 次,2020-2026,X3,92463,-0.370217,0.512903,-0.7218
第 164 次,2015-2019,X1,300531,-0.526458,0.614913,-0.8562
第 164 次,2015-2019,X2,152688,-0.335901,0.545412,-0.6159
第 164 次,2015-2019,X3,44790,-0.443813,0.559530,-0.7932
第 164 次,2020-2026,X1,587863,-0.444371,0.569022,-0.7809
第 164 次,2020-2026,X2,287830,-0.306444,0.511493,-0.5991
第 164 次,2020-2026,X3,92587,-0.369480,0.511847,-0.7219
第 165 次,2015-2019,X1,300532,-0.524193,0.615153,-0.8521
第 165 次,2015-2019,X2,152343,-0.339043,0.546503,-0.6204
第 165 次,2015-2019,X3,44894,-0.443626,0.552941,-0.8023
第 165 次,2020-2026,X1,587255,-0.445403,0.571246,-0.7797
第 165 次,2020-2026,X2,288039,-0.305484,0.509615,-0.5994
第 165 次,2020-2026,X3,92948,-0.371118,0.512523,-0.7241
第 166 次,2015-2019,X1,300553,-0.525381,0.612217,-0.8582
第 166 次,2015-2019,X2,152867,-0.336492,0.546362,-0.6159
第 166 次,2015-2019,X3,45122,-0.440509,0.560425,-0.7860
第 166 次,2020-2026,X1,587628,-0.444784,0.570517,-0.7796
第 166 次,2020-2026,X2,289044,-0.305782,0.512134,-0.5971
第 166 次,2020-2026,X3,92570,-0.371357,0.514429,-0.7219
第 167 次,2015-2019,X1,300699,-0.526991,0.614861,-0.8571
第 167 次,2015-2019,X2,152427,-0.339293,0.548061,-0.6191
第 167 次,2015-2019,X3,44977,-0.442415,0.558671,-0.7919
第 167 次,2020-2026,X1,587109,-0.444697,0.570068,-0.7801
第 167 次,2020-2026,X2,288520,-0.305919,0.513238,-0.5961
第 167 次,2020-2026,X3,92925,-0.372846,0.513688,-0.7258
第 168 次,2015-2019,X1,301180,-0.525461,0.612604,-0.8577
第 168 次,2015-2019,X2,152624,-0.335777,0.548105,-0.6126
第 168 次,2015-2019,X3,45219,-0.440490,0.556781,-0.7911
第 168 次,2020-2026,X1,586675,-0.443950,0.569057,-0.7802
第 168 次,2020-2026,X2,288998,-0.307105,0.511852,-0.6000
第 168 次,2020-2026,X3,92173,-0.370096,0.512142,-0.7226
第 169 次,2015-2019,X1,300755,-0.525227,0.614292,-0.8550
第 169 次,2015-2019,X2,153380,-0.337866,0.547402,-0.6172
第 169 次,2015-2019,X3,45418,-0.438398,0.556524,-0.7877
第 169 次,2020-2026,X1,586633,-0.444829,0.570784,-0.7793
第 169 次,2020-2026,X2,288219,-0.307714,0.512025,-0.6010
第 169 次,2020-2026,X3,92900,-0.368637,0.510590,-0.7220
第 170 次,2015-2019,X1,301069,-0.525585,0.613718,-0.8564
第 170 次,2015-2019,X2,152783,-0.337853,0.547651,-0.6169
第 170 次,2015-2019,X3,44878,-0.449073,0.561911,-0.7992
第 170 次,2020-2026,X1,587916,-0.444366,0.570297,-0.7792
第 170 次,2020-2026,X2,287904,-0.305900,0.511657,-0.5979
第 170 次,2020-2026,X3,92573,-0.375054,0.515516,-0.7275
第 171 次,2015-2019,X1,300446,-0.525586,0.613789,-0.8563
第 171 次,2015-2019,X2,152775,-0.332772,0.546034,-0.6094
第 171 次,2015-2019,X3,44934,-0.441808,0.556541,-0.7938
第 171 次,2020-2026,X1,587774,-0.444679,0.570367,-0.7796
第 171 次,2020-2026,X2,288203,-0.307561,0.512182,-0.6005
第 171 次,2020-2026,X3,93025,-0.371643,0.513898,-0.7232
第 172 次,2015-2019,X1,300497,-0.526689,0.616868,-0.8538
第 172 次,2015-2019,X2,152564,-0.335860,0.548192,-0.6127
第 172 次,2015-2019,X3,44840,-0.438113,0.554037,-0.7908
第 172 次,2020-2026,X1,586894,-0.445380,0.570573,-0.7806
第 172 次,2020-2026,X2,288228,-0.307498,0.512398,-0.6001
第 172 次,2020-2026,X3,92774,-0.370572,0.513258,-0.7220
第 173 次,2015-2019,X1,300793,-0.524135,0.613850,-0.8538
第 173 次,2015-2019,X2,152540,-0.335580,0.547851,-0.6125
第 173 次,2015-2019,X3,44942,-0.441424,0.554048,-0.7967
第 173 次,2020-2026,X1,587154,-0.444627,0.570441,-0.7794
第 173 次,2020-2026,X2,287770,-0.307253,0.512173,-0.5999
第 173 次,2020-2026,X3,92740,-0.369939,0.511219,-0.7236
第 174 次,2015-2019,X1,300185,-0.524628,0.613815,-0.8547
第 174 次,2015-2019,X2,152711,-0.337278,0.549410,-0.6139
第 174 次,2015-2019,X3,44897,-0.442889,0.557210,-0.7948
第 174 次,2020-2026,X1,588233,-0.444701,0.570365,-0.7797
第 174 次,2020-2026,X2,288270,-0.304160,0.512084,-0.5940
第 174 次,2020-2026,X3,92423,-0.371727,0.512302,-0.7256
第 175 次,2015-2019,X1,300641,-0.525300,0.612874,-0.8571
第 175 次,2015-2019,X2,152835,-0.338216,0.547804,-0.6174
第 175 次,2015-2019,X3,44878,-0.441671,0.553170,-0.7984
第 175 次,2020-2026,X1,587820,-0.445040,0.570253,-0.7804
第 175 次,2020-2026,X2,289056,-0.306735,0.512248,-0.5988
第 175 次,2020-2026,X3,93029,-0.369358,0.511262,-0.7224
第 176 次,2015-2019,X1,300191,-0.525313,0.612883,-0.8571
第 176 次,2015-2019,X2,152270,-0.338272,0.549670,-0.6154
第 176 次,2015-2019,X3,44788,-0.442103,0.558008,-0.7923
第 176 次,2020-2026,X1,587875,-0.443172,0.568351,-0.7798
第 176 次,2020-2026,X2,288385,-0.305865,0.511005,-0.5986
第 176 次,2020-2026,X3,92989,-0.373322,0.514620,-0.7254
第 177 次,2015-2019,X1,300257,-0.524033,0.612454,-0.8556
第 177 次,2015-2019,X2,152933,-0.335496,0.546184,-0.6143
第 177 次,2015-2019,X3,44987,-0.442466,0.559121,-0.7914
第 177 次,2020-2026,X1,587245,-0.445050,0.569721,-0.7812
第 177 次,2020-2026,X2,288323,-0.307311,0.511647,-0.6006
第 177 次,2020-2026,X3,92810,-0.373317,0.515636,-0.7240
第 178 次,2015-2019,X1,300807,-0.525335,0.614703,-0.8546
第 178 次,2015-2019,X2,152834,-0.337468,0.547705,-0.6161
第 178 次,2015-2019,X3,45007,-0.442490,0.561218,-0.7884
第 178 次,2020-2026,X1,587280,-0.444323,0.570019,-0.7795
第 178 次,2020-2026,X2,288537,-0.304475,0.510229,-0.5967
第 178 次,2020-2026,X3,92631,-0.366517,0.509567,-0.7193
第 179 次,2015-2019,X1,300064,-0.526111,0.613058,-0.8582
第 179 次,2015-2019,X2,152194,-0.335410,0.547225,-0.6129
第 179 次,2015-2019,X3,45033,-0.437793,0.555875,-0.7876
第 179 次,2020-2026,X1,586944,-0.445356,0.570839,-0.7802
第 179 次,2020-2026,X2,287327,-0.305878,0.512066,-0.5973
第 179 次,2020-2026,X3,92623,-0.371997,0.508506,-0.7315
第 180 次,2015-2019,X1,301263,-0.525301,0.615058,-0.8541
第 180 次,2015-2019,X2,153341,-0.336467,0.545724,-0.6166
第 180 次,2015-2019,X3,45093,-0.441050,0.557569,-0.7910
第 180 次,2020-2026,X1,586323,-0.445341,0.570284,-0.7809
第 180 次,2020-2026,X2,288148,-0.306890,0.511985,-0.5994
第 180 次,2020-2026,X3,92579,-0.370092,0.511370,-0.7237
第 181 次,2015-2019,X1,300270,-0.525460,0.614981,-0.8544
第 181 次,2015-2019,X2,152841,-0.336098,0.548059,-0.6133
第 181 次,2015-2019,X3,45132,-0.437715,0.555810,-0.7875
第 181 次,2020-2026,X1,587523,-0.445401,0.571265,-0.7797
第 181 次,2020-2026,X2,287831,-0.306797,0.511918,-0.5993
第 181 次,2020-2026,X3,92639,-0.370876,0.513012,-0.7229
第 182 次,2015-2019,X1,300442,-0.524917,0.613385,-0.8558
第 182 次,2015-2019,X2,152558,-0.337712,0.545664,-0.6189
第 182 次,2015-2019,X3,44949,-0.440530,0.552063,-0.7980
第 182 次,2020-2026,X1,587018,-0.444635,0.570851,-0.7789
第 182 次,2020-2026,X2,288541,-0.306829,0.511921,-0.5994
第 182 次,2020-2026,X3,92507,-0.374347,0.517107,-0.7239
第 183 次,2015-2019,X1,300120,-0.524249,0.613271,-0.8548
第 183 次,2015-2019,X2,152907,-0.332752,0.544247,-0.6114
第 183 次,2015-2019,X3,45276,-0.444671,0.557952,-0.7970
第 183 次,2020-2026,X1,587432,-0.444617,0.569666,-0.7805
第 183 次,2020-2026,X2,288199,-0.306579,0.512086,-0.5987
第 183 次,2020-2026,X3,92922,-0.372476,0.514363,-0.7241
第 184 次,2015-2019,X1,300283,-0.525394,0.615269,-0.8539
第 184 次,2015-2019,X2,152927,-0.337061,0.546528,-0.6167
第 184 次,2015-2019,X3,45255,-0.442847,0.556530,-0.7957
第 184 次,2020-2026,X1,587225,-0.443237,0.569801,-0.7779
第 184 次,2020-2026,X2,287553,-0.307543,0.511674,-0.6011
第 184 次,2020-2026,X3,92112,-0.368494,0.508799,-0.7242
第 185 次,2015-2019,X1,300875,-0.524851,0.613997,-0.8548
第 185 次,2015-2019,X2,152901,-0.335406,0.546926,-0.6133
第 185 次,2015-2019,X3,45401,-0.442226,0.557315,-0.7935
第 185 次,2020-2026,X1,587288,-0.442945,0.568616,-0.7790
第 185 次,2020-2026,X2,288432,-0.307150,0.512455,-0.5994
第 185 次,2020-2026,X3,92631,-0.370271,0.511841,-0.7234
第 186 次,2015-2019,X1,300174,-0.525544,0.614498,-0.8552
第 186 次,2015-2019,X2,152927,-0.336866,0.546524,-0.6164
第 186 次,2015-2019,X3,45194,-0.443713,0.562354,-0.7890
第 186 次,2020-2026,X1,588706,-0.444731,0.570875,-0.7790
第 186 次,2020-2026,X2,288441,-0.307136,0.511000,-0.6010
第 186 次,2020-2026,X3,92535,-0.369760,0.510202,-0.7247
第 187 次,2015-2019,X1,301126,-0.525433,0.616047,-0.8529
第 187 次,2015-2019,X2,152321,-0.336753,0.546775,-0.6159
第 187 次,2015-2019,X3,44893,-0.444598,0.553139,-0.8038
第 187 次,2020-2026,X1,587211,-0.444504,0.569482,-0.7805
第 187 次,2020-2026,X2,287897,-0.306285,0.512171,-0.5980
第 187 次,2020-2026,X3,92346,-0.365945,0.512434,-0.7141
第 188 次,2015-2019,X1,300195,-0.526385,0.616512,-0.8538
第 188 次,2015-2019,X2,152601,-0.337713,0.548404,-0.6158
第 188 次,2015-2019,X3,45158,-0.444714,0.556799,-0.7987
第 188 次,2020-2026,X1,587791,-0.443549,0.569298,-0.7791
第 188 次,2020-2026,X2,287712,-0.306041,0.509402,-0.6008
第 188 次,2020-2026,X3,92360,-0.368974,0.512115,-0.7205
第 189 次,2015-2019,X1,300137,-0.525906,0.614174,-0.8563
第 189 次,2015-2019,X2,152844,-0.336122,0.543904,-0.6180
第 189 次,2015-2019,X3,45134,-0.445506,0.558815,-0.7972
第 189 次,2020-2026,X1,587777,-0.444315,0.570027,-0.7795
第 189 次,2020-2026,X2,288700,-0.306057,0.511801,-0.5980
第 189 次,2020-2026,X3,92956,-0.368340,0.510346,-0.7217
第 190 次,2015-2019,X1,299944,-0.526115,0.614479,-0.8562
第 190 次,2015-2019,X2,152720,-0.338710,0.546769,-0.6195
第 190 次,2015-2019,X3,44954,-0.438199,0.555488,-0.7889
第 190 次,2020-2026,X1,587787,-0.444519,0.569849,-0.7801
第 190 次,2020-2026,X2,288555,-0.306292,0.511692,-0.5986
第 190 次,2020-2026,X3,92556,-0.369383,0.513232,-0.7197
第 191 次,2015-2019,X1,300069,-0.524955,0.615031,-0.8535
第 191 次,2015-2019,X2,152855,-0.333953,0.545064,-0.6127
第 191 次,2015-2019,X3,45250,-0.439623,0.553828,-0.7938
第 191 次,2020-2026,X1,587154,-0.446018,0.570108,-0.7823
第 191 次,2020-2026,X2,288771,-0.307719,0.511630,-0.6014
第 191 次,2020-2026,X3,92654,-0.371855,0.513939,-0.7235
第 192 次,2015-2019,X1,300332,-0.525751,0.614928,-0.8550
第 192 次,2015-2019,X2,152468,-0.337639,0.546800,-0.6175
第 192 次,2015-2019,X3,44937,-0.442153,0.557182,-0.7936
第 192 次,2020-2026,X1,587657,-0.444748,0.569847,-0.7805
第 192 次,2020-2026,X2,288280,-0.306537,0.511257,-0.5996
第 192 次,2020-2026,X3,92955,-0.368988,0.510466,-0.7228
第 193 次,2015-2019,X1,300846,-0.524788,0.614933,-0.8534
第 193 次,2015-2019,X2,152242,-0.334899,0.546102,-0.6133
第 193 次,2015-2019,X3,44578,-0.442942,0.558477,-0.7931
第 193 次,2020-2026,X1,587612,-0.444622,0.570366,-0.7795
第 193 次,2020-2026,X2,287757,-0.305298,0.512075,-0.5962
第 193 次,2020-2026,X3,92313,-0.369820,0.511625,-0.7228
第 194 次,2015-2019,X1,301354,-0.525647,0.614520,-0.8554
第 194 次,2015-2019,X2,152544,-0.338146,0.545284,-0.6201
第 194 次,2015-2019,X3,44922,-0.438509,0.549395,-0.7982
第 194 次,2020-2026,X1,588062,-0.444212,0.568876,-0.7809
第 194 次,2020-2026,X2,288201,-0.305573,0.511983,-0.5968
第 194 次,2020-2026,X3,92710,-0.370627,0.512417,-0.7233
第 195 次,2015-2019,X1,300673,-0.526693,0.615313,-0.8560
第 195 次,2015-2019,X2,153384,-0.335172,0.549818,-0.6096
第 195 次,2015-2019,X3,45215,-0.440618,0.550718,-0.8001
第 195 次,2020-2026,X1,586973,-0.444087,0.568923,-0.7806
第 195 次,2020-2026,X2,287759,-0.306576,0.511456,-0.5994
第 195 次,2020-2026,X3,92701,-0.370558,0.512770,-0.7227
第 196 次,2015-2019,X1,300316,-0.524364,0.613646,-0.8545
第 196 次,2015-2019,X2,151910,-0.338377,0.545793,-0.6200
第 196 次,2015-2019,X3,45462,-0.437816,0.557452,-0.7854
第 196 次,2020-2026,X1,586745,-0.444687,0.570382,-0.7796
第 196 次,2020-2026,X2,288692,-0.307502,0.512510,-0.6000
第 196 次,2020-2026,X3,92953,-0.370743,0.514118,-0.7211
第 197 次,2015-2019,X1,300329,-0.524681,0.614316,-0.8541
第 197 次,2015-2019,X2,152714,-0.337202,0.548617,-0.6146
第 197 次,2015-2019,X3,45013,-0.443306,0.555931,-0.7974
第 197 次,2020-2026,X1,587630,-0.444564,0.569750,-0.7803
第 197 次,2020-2026,X2,288642,-0.306141,0.511231,-0.5988
第 197 次,2020-2026,X3,92737,-0.369807,0.510598,-0.7243
第 198 次,2015-2019,X1,300406,-0.525725,0.615182,-0.8546
第 198 次,2015-2019,X2,153261,-0.335695,0.544071,-0.6170
第 198 次,2015-2019,X3,45181,-0.441048,0.553276,-0.7972
第 198 次,2020-2026,X1,587204,-0.444728,0.570300,-0.7798
第 198 次,2020-2026,X2,288324,-0.307230,0.511960,-0.6001
第 198 次,2020-2026,X3,92267,-0.368849,0.509129,-0.7245
第 199 次,2015-2019,X1,300101,-0.524200,0.611955,-0.8566
第 199 次,2015-2019,X2,153007,-0.338363,0.547889,-0.6176
第 199 次,2015-2019,X3,45245,-0.446565,0.556719,-0.8021
第 199 次,2020-2026,X1,587163,-0.444725,0.570184,-0.7800
第 199 次,2020-2026,X2,288169,-0.307313,0.511309,-0.6010
